title,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
The Handmaid's Tale,1990,7,21,6,18,2
Hard to Kill,1990,14,16,21,6,32
Hardware,1990,19,13,6,18,2
Havana,1990,10,17,6,6,2
Heart Condition,1990,8,8,3,20,11
Henry: Portrait of a Serial Killer,1990,5,19,17,18,2
Home Alone,1990,18,10,1,18,2
"Hot Cars, Cold Facts",1990,19,3,20,18,37
The Hot Spot,1990,22,19,17,5,15
House Party,1990,18,8,17,18,2
The Hunt for Red October,1990,2,13,2,18,18
I Come in Peace,1990,16,20,6,5,2
I Love You to Death,1990,15,9,20,16,41
I'm Dangerous Tonight,1990,11,12,12,18,13
"Initiation: Silent Night, Deadly Night 4",1990,0,17,22,18,16
Internal Affairs,1990,16,6,21,18,25
Iron & Silk,1990,21,5,15,18,33
It,1990,6,20,16,14,42
Jacob's Ladder,1990,22,19,6,0,2
Jetsons: The Movie,1990,0,17,11,18,2
Joe Versus the Volcano,1990,0,17,11,18,2
The Kill-Off,1990,8,3,0,13,36
Killer Tomatoes Strike Back,1990,5,6,21,20,44
Kindergarten Cop,1990,1,15,9,18,29
King of New York,1990,16,20,6,5,2
Laser Mission,1990,7,21,11,5,2
The Last of the Finest,1990,13,18,1,18,2
Leatherface: The Texas Chainsaw Massacre III,1990,6,4,21,22,2
The Lemon Sisters,1990,9,7,5,12,36
Lionheart,1990,17,1,18,18,2
The Long Walk Home,1990,10,21,8,18,2
Look Who's Talking Too,1990,19,17,3,8,2
Loose Cannons,1990,11,12,1,5,2
Lord of the Flies,1990,6,4,18,6,2
Love at Large,1990,3,14,22,5,13
Madhouse,1990,18,3,1,18,2
Maniac Cop 2,1990,6,20,13,0,30
Marked for Death,1990,16,4,21,8,2
Masters of Menace,1990,20,2,20,16,41
Megaville,1990,16,13,6,18,25
Memphis Belle,1990,2,13,21,18,25
Men at Work,1990,3,14,6,22,32
Men Don't Leave,1990,14,16,18,18,2
Men of Respect,1990,12,22,6,12,23
Meridian: Kiss of the Beast,1990,4,11,17,6,11
Mermaids,1990,15,9,17,18,2
Metamorphosis: The Alien Factor,1990,4,11,11,3,42
Metropolitan,1990,10,3,6,22,2
Miami Blues,1990,16,17,14,5,2
Miller's Crossing,1990,6,20,10,13,32
Misery,1990,0,17,19,5,36
Mo' Better Blues,1990,8,8,10,18,2
Mob Story,1990,7,21,21,19,43
A Mom for Christmas,1990,15,9,6,18,32
Moon 44,1990,2,13,14,2,40
Mother Goose Rock 'n' Rhyme,1990,15,9,2,16,32
Mountains of the Moon,1990,7,21,14,20,20
Mr. Destiny,1990,22,19,6,5,2
Mr. and Mrs. Bridge,1990,12,22,21,11,1
My Blue Heaven,1990,18,10,16,9,20
Narrow Margin,1990,5,6,6,18,1
Navy SEALs,1990,2,13,6,18,2
The NeverEnding Story II: The Next Chapter,1990,19,13,6,18,2
Night Eyes,1990,7,0,20,18,32
Night of the Living Dead,1990,18,4,5,18,2
Nightbreed,1990,5,6,8,18,2
"No Retreat, No Surrender 3: Blood Brothers",1990,16,20,13,18,17
The Nutcracker Prince,1990,0,17,13,18,2
Pacific Heights,1990,2,13,21,18,2
The Pit and the Pendulum,1990,7,21,8,0,11
Plunder & Lightning,1990,19,17,5,18,2
Postcards from the Edge,1990,15,9,13,13,30
Predator 2,1990,6,20,6,6,2
Presumed Innocent,1990,5,6,10,18,2
Pretty Woman,1990,0,17,14,18,20
Problem Child,1990,4,11,6,18,2
Prom Night III: The Last Kiss,1990,1,4,1,18,2
Psycho IV: The Beginning,1990,15,9,4,18,2
Pump Up the Volume,1990,1,15,21,18,2
Q&A,1990,16,20,6,18,2
Quick Change,1990,13,18,6,18,7
Quigley Down Under,1990,16,13,13,18,2
Ralph S. Mouse,1990,22,19,13,3,44
The Reflecting Skin,1990,18,10,6,5,30
Repossessed,1990,19,13,8,18,21
The Rescuers Down Under,1990,19,4,1,18,18
Revenge,1990,0,17,6,18,16
Reversal of Fortune,1990,5,6,14,8,12
RoboCop 2,1990,20,2,6,18,2
Robot Jox,1990,17,1,17,7,2
Rock 'n' Roll High School Forever,1990,1,15,17,18,2
Rocky V,1990,17,1,8,5,33
Roller Coaster Rabbit,1990,7,21,1,18,18
The Rookie,1990,16,20,6,18,2
Rosencrantz & Guildenstern Are Dead,1990,8,8,12,20,2
The Russia House,1990,0,17,6,18,2
Shipwrecked,1990,12,22,6,22,13
A Shock to the System,1990,5,6,6,5,3
A Show of Force,1990,5,6,6,19,9
The Shrimp on the Barbie,1990,4,3,20,18,2
Sibling Rivalry,1990,3,14,11,8,37
Side Out,1990,0,17,22,18,2
Slumber Party Massacre 3,1990,18,10,6,18,16
Sorority House Massacre 2,1990,5,6,6,6,2
Snake Eater II: The Drug Buster,1990,17,1,9,20,33
Solar Crisis,1990,14,16,18,9,12
Soultaker,1990,22,19,16,13,2
Spaced Invaders,1990,9,7,6,18,2
Spirit of '76,1990,7,21,20,5,14
Spontaneous Combustion,1990,7,21,8,12,5
Stanley & Iris,1990,4,11,11,18,2
State of Grace,1990,6,20,21,5,32
Stella,1990,4,11,10,3,2
Strike It Rich,1990,8,8,11,22,34
Taking Care of Business,1990,22,19,4,5,18
Tales from the Darkside: The Movie,1990,5,4,1,18,2
Teenage Mutant Ninja Turtles,1990,21,5,8,18,19
Texasville,1990,14,16,16,5,16
Three Men and a Little Lady,1990,19,3,6,14,2
Till There Was You,1990,7,21,13,16,16
Time of Love,1990,3,14,4,14,2
Too Much Sun,1990,14,16,14,18,37
To Sleep with Anger,1990,12,22,0,11,2
Total Recall,1990,2,20,6,5,15
Treasure Island,1990,7,21,11,22,16
Tremors,1990,2,20,6,18,18
Troll 2,1990,12,22,11,18,2
Troll 3,1990,6,20,1,4,31
Trust,1990,15,15,19,18,43
Tune in Tomorrow,1990,7,21,17,7,29
The Two Jakes,1990,5,6,8,18,37
Vincent & Theo,1990,11,12,20,18,19
"Welcome Home, Roxy Carmichael",1990,15,9,6,11,2
When You Remember Me,1990,9,7,1,20,11
Where the Heart Is,1990,18,10,21,20,2
White Hunter Black Heart,1990,11,12,20,18,25
White Palace,1990,18,3,6,18,2
White Room,1990,5,6,12,19,23
Why Me?,1990,20,2,10,5,22
Wild Orchid,1990,0,17,17,17,2
Wild at Heart,1990,21,5,13,18,12
Witchcraft II: The Temptress,1990,11,12,8,12,2
The Witches,1990,19,13,1,5,41
Young Guns II,1990,6,4,4,18,2
Zapped Again!,1990,1,15,12,12,22
12:01 PM,1990,7,21,12,8,21
29th Street,1991,3,14,14,4,39
Across the Tracks,1991,1,15,16,18,2
The Addams Family,1991,12,22,6,18,2
All I Want for Christmas,1991,10,3,5,18,0
An American Tail: Fievel Goes West,1991,19,13,11,18,37
Another You,1991,6,20,20,15,44
At Play in the Fields of the Lord,1991,16,16,18,8,26
Backdraft,1991,4,11,16,5,37
Barton Fink,1991,0,17,11,18,2
Beauty and the Beast,1991,21,5,21,12,2
Bill & Ted's Bogus Journey,1991,7,3,6,5,2
Billy Bathgate,1991,13,18,21,18,2
Bingo,1991,0,17,20,18,2
Blue Desert,1991,7,21,10,6,20
Body Parts,1991,16,19,22,18,2
The Boneyard,1991,5,6,8,18,24
Boyz n the Hood,1991,0,11,16,18,2
Breathing Fire,1991,14,16,20,2,5
Bride of Re-Animator,1991,18,10,2,12,44
Brother Future,1991,18,10,11,6,5
Bugsy,1991,13,18,16,18,2
The Butcher's Wife,1991,21,5,6,18,44
By the Sword,1991,1,15,10,18,17
Cape Fear,1991,12,22,19,18,2
Captain America,1991,5,6,17,14,10
Career Opportunities,1991,4,3,9,14,2
Children of the Night,1991,1,4,10,7,17
Child's Play 3,1991,2,4,17,18,2
Chopper Chicks in Zombietown,1991,13,18,1,18,16
City of Hope,1991,11,12,8,4,30
City Slickers,1991,19,21,7,16,2
Class Action,1991,22,19,20,13,42
Closet Land,1991,11,12,18,16,2
Cold Heaven,1991,8,8,12,22,20
The Commitments,1991,10,21,21,18,2
Company Business,1991,13,18,22,22,2
Cool as Ice,1991,0,17,6,18,2
Curly Sue,1991,15,9,20,4,15
The Dark Backward,1991,8,8,13,11,18
The Dark Wind,1991,6,20,6,5,2
Daughters of the Dust,1991,12,22,6,8,2
Dead Again,1991,6,4,6,5,32
Deceived,1991,15,9,16,18,2
Defending Your Life,1991,19,21,6,18,2
Defenseless,1991,5,6,20,20,11
Delirious,1991,10,3,21,6,2
Doc Hollywood,1991,22,19,20,18,2
The Doctor,1991,10,17,19,18,2
Dogfight,1991,0,17,6,18,2
Don't Tell Mom the Babysitter's Dead,1991,15,3,18,18,2
The Doors,1991,8,8,6,5,18
Double Impact,1991,6,4,20,18,2
Drop Dead Fred,1991,0,17,6,18,2
Dutch,1991,15,9,13,22,2
Dying Young,1991,4,11,19,18,21
Edge of Honor,1991,9,7,8,16,5
Ernest Scared Stupid,1991,18,10,6,18,4
Eve of Destruction,1991,19,13,5,9,18
Eyes of an Angel,1991,0,17,6,18,2
F/X2,1991,5,6,11,5,2
Father of the Bride,1991,18,10,13,18,2
Final Approach,1991,7,21,20,0,35
The Fisher King,1991,21,6,6,18,2
The Five Heartbeats,1991,9,7,6,18,2
Flight of the Intruder,1991,2,4,6,18,2
For the Boys,1991,10,16,6,5,18
Frankie and Johnny,1991,10,0,15,21,2
Freddy's Dead: The Final Nightmare,1991,6,3,20,21,19
Fried Green Tomatoes,1991,18,10,6,18,37
Grand Canyon,1991,11,12,16,18,41
Guilty by Suspicion,1991,11,21,5,14,39
Hangin' with the Homeboys,1991,10,0,0,1,30
Hard Promises,1991,21,14,19,9,9
The Hard Way,1991,20,2,17,17,21
Harley Davidson and the Marlboro Man,1991,16,18,21,13,2
Hear My Song,1991,7,14,2,7,2
The Heroes of Desert Storm,1991,2,8,16,18,2
Highlander II: The Quickening,1991,2,13,20,18,2
The Hitman,1991,4,11,13,18,2
Homicide,1991,8,8,6,5,7
Hook,1991,21,5,21,0,2
Hot Shots!,1991,19,17,13,18,2
The Hours and Times,1991,0,17,6,13,42
House Party 2,1991,8,8,15,1,37
Hudson Hawk,1991,6,4,16,11,2
If Looks Could Kill,1991,5,6,20,5,2
The Indian Runner,1991,4,11,6,18,2
The Inner Circle,1991,7,21,10,2,34
JFK,1991,2,6,16,18,2
Jungle Fever,1991,4,0,10,10,2
Kafka,1991,9,7,2,16,10
King Ralph,1991,12,22,4,5,2
A Kiss Before Dying,1991,18,10,6,18,2
L.A. Story,1991,10,0,13,4,16
The Last Boy Scout,1991,16,4,13,21,2
Life Stinks,1991,7,21,8,18,2
The Linguini Incident,1991,13,17,2,18,30
Little Man Tate,1991,1,15,16,18,16
Love Hurts,1991,8,8,10,0,29
Madonna: Truth or Dare,1991,0,17,6,18,2
The Man in the Moon,1991,4,11,10,18,2
The Marrying Man,1991,10,17,6,18,2
McBain,1991,7,21,6,9,2
Meet the Applegates,1991,12,22,6,18,1
Men of Respect,1991,12,22,6,12,23
Mississippi Masala,1991,12,22,20,18,2
Mortal Thoughts,1991,20,2,7,16,29
My Girl,1991,4,11,17,18,2
My Own Private Idaho,1991,15,9,21,17,12
Mystery Date,1991,5,6,13,9,14
The Naked Gun 2½: The Smell of Fear,1991,20,4,16,18,2
Naked Lunch,1991,6,20,8,16,2
Necessary Roughness,1991,8,15,1,18,2
New Jack City,1991,13,18,21,5,2
Night on Earth,1991,0,19,16,18,2
Not Without My Daughter,1991,12,22,20,22,2
Nothing but Trouble,1991,19,13,16,18,2
The Object of Beauty,1991,7,3,11,14,42
Once Around,1991,12,22,10,11,18
One Good Cop,1991,13,18,21,18,2
Only the Lonely,1991,15,9,21,13,2
Oscar,1991,4,11,1,18,28
Other People's Money,1991,10,17,16,18,2
Out for Justice,1991,16,20,9,10,2
Paradise,1991,15,9,1,14,37
Paris Trout,1991,3,14,0,7,3
Pastime,1991,7,21,21,18,17
The People Under the Stairs,1991,18,10,5,18,24
Perfect Harmony,1991,1,15,10,0,30
The Perfect Weapon,1991,2,6,6,18,2
Point Break,1991,9,7,1,13,2
Poison,1991,7,21,20,7,3
The Prince of Tides,1991,15,9,11,18,2
Problem Child 2,1991,1,15,14,18,2
Puppet Master II,1991,16,4,18,11,11
Puppet Master III: Toulon's Revenge,1991,16,20,8,5,19
Pure Luck,1991,16,4,6,18,2
A Rage in Harlem,1991,7,21,6,5,5
Rambling Rose,1991,0,21,3,4,28
The Rapture,1991,7,21,6,12,20
Regarding Henry,1991,10,15,6,17,2
Return to the Blue Lagoon,1991,0,17,1,18,2
Ricochet,1991,16,4,5,18,2
Road to Ruin,1991,21,5,11,1,2
Robin Hood: Prince of Thieves,1991,6,4,16,14,2
The Rocketeer,1991,19,13,9,4,2
Rover Dangerfield,1991,0,17,8,5,2
Run,1991,20,4,21,1,18
Rush,1991,20,2,16,7,2
Scenes from a Mall,1991,7,21,16,15,16
Scissors,1991,2,6,1,18,2
Scorchers,1991,7,8,21,19,25
Shadows and Fog,1991,0,2,6,18,2
Shattered,1991,22,19,6,18,29
Shout,1991,0,5,12,18,2
Showdown in Little Tokyo,1991,6,20,8,5,2
The Silence of the Lambs,1991,0,17,6,6,2
Slacker,1991,11,12,7,22,15
Sleeping with the Enemy,1991,16,10,20,18,2
Soapdish,1991,8,3,12,5,2
Star Trek VI: The Undiscovered Country,1991,19,13,21,18,18
Stone Cold,1991,5,6,14,6,2
Straight Out of Brooklyn,1991,13,18,5,7,30
Suburban Commando,1991,2,13,14,18,2
The Super,1991,13,18,20,11,2
Switch,1991,3,14,21,4,35
The Taking of Beverly Hills,1991,20,2,20,18,2
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,2,13,11,18,2
Terminator 2: Judgment Day,1991,6,20,1,18,18
Thelma & Louise,1991,16,2,6,18,2
There's Nothing Out There,1991,9,7,6,12,33
Together Alone,1991,8,8,13,4,8
Toy Soldiers,1991,1,15,7,5,2
Triple Bogey on a Par Five Hole,1991,7,21,11,12,6
True Colors,1991,10,17,16,18,2
True Identity,1991,3,14,20,5,30
Two Evil Eyes,1991,18,10,11,18,18
Victim of Love,1991,0,17,11,18,37
What About Bob?,1991,18,10,20,18,2
White Fang,1991,2,4,11,18,2
Whore,1991,13,18,6,18,7
Wild Hearts Can't Be Broken,1991,4,11,20,7,2
Year of the Gun,1991,16,13,10,14,2
1492: Conquest of Paradise,1992,14,16,13,18,18
3 Ninjas,1992,17,1,11,5,2
Aladdin,1992,19,13,13,5,20
Alien 3,1992,6,20,13,18,2
American Me,1992,5,6,3,8,2
Article 99,1992,19,3,1,18,2
The Babe,1992,1,21,11,18,2
Bad Lieutenant,1992,22,19,13,6,2
Basic Instinct,1992,5,6,6,6,18
Batman Returns,1992,6,13,6,5,2
Beauty and the Beast,1992,4,11,6,14,16
Bébé's Kids,1992,10,0,16,18,2
Beethoven,1992,12,22,10,18,28
Blame It on the Bellboy,1992,13,18,21,6,2
Blown Away,1992,4,11,11,18,2
Bob Roberts,1992,7,21,6,11,20
The Bodyguard,1992,16,4,6,5,2
Boomerang,1992,10,3,21,18,2
Brain Donors,1992,7,3,3,6,35
Bram Stoker's Dracula,1992,2,13,17,12,2
Buffy the Vampire Slayer,1992,1,15,20,18,2
Candyman,1992,5,6,21,18,2
Captain Ron,1992,19,4,11,5,2
Chain of Desire,1992,21,5,11,16,35
Chaplin,1992,11,12,18,18,2
Child of Rage,1992,0,17,17,18,32
Children of the Corn II: The Final Sacrifice,1992,6,4,17,18,2
Christopher Columbus: The Discovery,1992,7,21,3,2,28
Claire of the Moon,1992,7,21,5,6,2
Class Act,1992,1,15,18,16,16
Consenting Adults,1992,5,6,17,0,2
Cool World,1992,15,9,11,6,11
CrissCross,1992,14,16,18,22,2
Cruel Doubt,1992,14,16,8,13,36
The Cutting Edge,1992,10,21,21,18,2
Death Becomes Her,1992,19,4,16,18,10
Deep Cover,1992,6,20,16,5,2
Diggstown,1992,17,1,4,18,2
Dr. Giggles,1992,16,20,18,5,2
Encino Man,1992,1,15,6,18,2
Equinox,1992,8,8,21,8,22
Falling from Grace,1992,4,11,9,18,2
Far and Away,1992,18,4,20,5,2
FernGully: The Last Rainforest,1992,10,17,10,18,22
A Few Good Men,1992,2,13,6,18,12
Fifty/Fifty,1992,7,21,6,16,22
Final Analysis,1992,5,6,6,19,2
Folks!,1992,0,17,18,18,32
Forever Young,1992,19,4,8,18,2
Freejack,1992,19,13,5,18,2
Frozen Assets,1992,15,9,6,15,5
Gas Food Lodging,1992,15,9,6,18,2
Gladiator,1992,17,1,6,18,10
Glengarry Glen Ross,1992,20,2,7,17,16
The Gun in Betty Lou's Handbag,1992,5,6,1,18,0
The Hand That Rocks the Cradle,1992,16,4,6,6,2
Hero,1992,0,17,10,13,18
Hoffa,1992,22,14,8,18,2
Home Alone 2: Lost in New York,1992,12,22,10,18,28
"Honey, I Blew Up the Kid",1992,14,16,13,18,2
Honeymoon in Vegas,1992,19,13,2,5,7
Housesitter,1992,18,10,6,11,28
Husbands and Wives,1992,10,0,20,18,2
Innocent Blood,1992,16,20,11,18,2
Into the Sun,1992,8,8,13,18,2
Jennifer 8,1992,5,6,11,2,2
Juice,1992,16,20,14,0,2
Just Another Girl on the I.R.T.,1992,1,15,21,18,19
Kuffs,1992,20,2,11,18,13
Ladybugs,1992,8,3,1,18,2
The Last of the Mohicans,1992,14,16,4,18,25
The Lawnmower Man,1992,4,11,6,18,2
A League of Their Own,1992,0,3,16,18,2
Leap of Faith,1992,0,17,6,18,2
Leaving Normal,1992,18,10,7,14,31
Lethal Weapon 3,1992,16,20,11,18,2
Light Sleeper,1992,20,2,17,18,6
Live Wire,1992,6,20,2,5,2
Lorenzo's Oil,1992,14,16,19,18,2
Love Crimes,1992,20,2,21,18,42
Love Field,1992,22,19,6,13,2
Love Potion No. 9,1992,18,10,10,11,2
Mad at the Moon,1992,21,5,1,16,3
Malcolm X,1992,7,21,2,18,2
The Mambo Kings,1992,21,5,20,11,30
Man Bites Dog,1992,5,6,6,18,19
Man Trouble,1992,7,3,10,18,17
Medicine Man,1992,3,14,18,5,4
Medusa: Dare to Be Truthful,1992,11,12,16,4,2
Memoirs of an Invisible Man,1992,19,17,6,18,29
A Midnight Clear,1992,9,7,8,5,2
The Mighty Ducks,1992,8,8,1,18,2
Mistress,1992,11,3,0,22,37
Mo' Money,1992,6,20,21,7,2
Mom and Dad Save the World,1992,19,13,6,18,2
Mr. Baseball,1992,8,8,8,18,2
Mr. Saturday Night,1992,12,22,11,8,42
The Muppet Christmas Carol,1992,8,8,13,18,32
My Cousin Vinny,1992,22,19,11,18,2
My New Gun,1992,7,21,20,9,22
Nemesis,1992,6,20,11,18,2
Newsies,1992,19,13,20,4,22
Night and the City,1992,17,1,7,18,2
Noises Off,1992,8,8,14,12,20
O Pioneers!,1992,12,22,0,20,12
Of Mice and Men,1992,16,21,1,18,2
"Oh, What a Night",1992,8,8,19,5,23
Once Upon a Crime,1992,7,6,10,10,12
One False Move,1992,16,2,11,18,2
Only You,1992,7,21,17,13,2
Out on a Limb,1992,22,19,13,16,19
Passed Away,1992,14,16,12,13,16
Passenger 57,1992,6,20,18,18,44
Passion Fish,1992,7,22,21,2,39
Patriot Games,1992,2,20,16,0,7
Pet Sematary Two,1992,16,20,4,0,34
The Playboys,1992,4,11,13,6,2
The Player,1992,5,6,6,3,2
Poison Ivy,1992,4,11,17,18,2
The Power of One,1992,15,9,16,18,2
Praying with Anger,1992,15,11,7,11,2
Prelude to a Kiss,1992,21,5,20,22,5
Prom Night IV: Deliver Us from Evil,1992,4,11,13,0,2
The Public Eye,1992,20,2,21,16,33
Pure Country,1992,0,17,16,18,2
Quicksand: No Escape,1992,5,6,22,0,20
Radio Flyer,1992,4,16,18,5,18
Rain Without Thunder,1992,5,6,6,18,2
Raising Cain,1992,20,2,21,6,2
Rapid Fire,1992,6,4,14,18,2
Red Rock West,1992,13,18,6,12,28
Reservoir Dogs,1992,20,2,19,18,27
The Resurrected,1992,7,21,15,19,24
Revenge of the Nerds III: The Next Generation,1992,10,17,11,5,2
A River Runs Through It,1992,0,3,20,18,2
Roadside Prophets,1992,7,21,15,2,36
RoboCop 3,1992,2,13,13,5,10
Rock-a-Doodle,1992,19,17,13,5,2
Ruby,1992,0,17,6,18,2
Samantha,1992,21,22,20,18,2
Samurai Vampire Bikers From Hell,1992,11,12,8,12,2
Scent of a Woman,1992,1,15,16,18,2
School Ties,1992,1,15,10,4,2
Shining Through,1992,16,21,20,18,2
Shipwrecked,1992,12,22,6,22,13
Sidekicks,1992,3,14,6,4,2
"Silent Night, Deadly Night 5: The Toy Maker",1992,4,3,6,18,2
Simple Men,1992,4,11,5,1,17
Sinbad,1992,4,11,12,18,36
Single White Female,1992,0,17,6,7,2
Singles,1992,11,12,19,18,16
Sister Act,1992,15,9,9,18,2
Sleepwalkers,1992,18,10,20,10,7
Sneakers,1992,20,2,6,5,2
Society,1992,12,22,6,18,2
South Central,1992,16,3,6,5,2
Star Time,1992,5,6,6,6,2
Stay Tuned,1992,17,1,16,17,32
Stop! Or My Mom Will Shoot,1992,20,2,4,21,26
Straight Talk,1992,0,17,6,18,32
A Stranger Among Us,1992,5,6,6,18,16
That Night,1992,15,9,21,18,18
The Three Musketeers,1992,21,5,13,19,19
Thumbelina,1992,0,11,21,20,2
Thunderheart,1992,5,6,6,18,2
Tiny Toon Adventures: How I Spent My Vacation,1992,19,13,14,18,2
To Grandmother's House We Go,1992,0,17,6,18,2
Tom and Jerry: The Movie,1992,18,3,20,11,2
Toys,1992,19,16,11,8,2
Traces of Red,1992,7,3,6,18,10
Trespass,1992,3,14,17,18,2
The Tune,1992,10,21,17,8,42
Twin Peaks: Fire Walk with Me,1992,0,14,6,18,37
Under Siege,1992,2,20,6,18,2
Unforgiven,1992,6,20,2,6,20
Universal Soldier,1992,16,13,8,18,2
Unlawful Entry,1992,20,10,18,18,32
Waxwork II: Lost in Time,1992,11,12,14,18,17
Wayne's World,1992,10,3,17,8,2
Where the Day Takes You,1992,9,2,17,18,2
Whispers in the Dark,1992,5,6,22,12,1
White Men Can't Jump,1992,13,18,20,5,2
Who Do I Gotta Kill?,1992,7,21,5,22,18
Wind,1992,11,12,14,12,44
The Witness,1992,8,8,6,16,26
The Year of the Comet,1992,5,6,0,22,2
Zipperface,1992,5,6,11,5,25
Addams Family Values,1993,12,22,14,18,2
The Adventures of Huck Finn,1993,12,22,17,18,2
The Age of Innocence,1993,21,5,6,18,12
Airborne,1993,17,1,20,18,2
Alive,1993,19,4,6,18,2
Amos & Andrew,1993,22,19,6,18,2
Another Stakeout,1993,16,4,6,16,29
Arizona Dream,1993,0,3,15,18,2
Evil Dead 3: Army of Darkness,1993,6,20,16,4,29
Aspen Extreme,1993,1,15,11,18,2
The Ballad of Little Jo,1993,3,14,20,18,2
Bank Robber,1993,7,21,21,10,29
Batman: Mask of the Phantasm,1993,16,11,16,18,2
Benny & Joon,1993,0,17,9,22,2
Best of the Best 2,1993,14,16,10,18,2
The Beverly Hillbillies,1993,13,18,4,12,32
Blood In Blood Out,1993,16,20,9,5,2
Body of Evidence,1993,10,0,6,18,2
Body Snatchers,1993,4,11,3,18,18
Boiling Point,1993,5,6,16,18,2
Bopha!,1993,20,2,1,0,2
Born Yesterday,1993,21,5,19,4,18
Boxing Helena,1993,18,10,6,18,18
A Bronx Tale,1993,22,19,6,20,2
CB4,1993,9,7,1,11,23
Calendar Girl,1993,10,5,6,13,2
Cannibal! The Musical,1993,19,13,11,18,37
Carlito's Way,1993,20,2,11,5,2
The Cemetery Club,1993,7,3,19,5,5
Cliffhanger,1993,6,13,6,11,2
Coneheads,1993,19,13,6,18,2
Cool Runnings,1993,0,17,4,18,2
Cop and a Half,1993,20,2,13,19,19
The Crush,1993,18,10,6,5,18
Dangerous Game,1993,11,12,6,7,17
A Dangerous Woman,1993,0,17,17,18,10
Dave,1993,0,17,16,18,2
Dazed and Confused,1993,1,15,8,18,16
Deadfall,1993,8,8,21,12,2
Demolition Man,1993,20,2,6,22,2
Dennis the Menace,1993,18,3,17,18,2
